Sketchmap01,Sketchmap02,Sketchmap03,Sketchmap
18.470540945692687,59.06912708069085,9.513624267000921e-09,2.0
111.47071952313348,-0.0,191.64775178402078,3.0
215.19603399515842,-0.0,203.147626734806,2.0
160.30139322650024,111.7205062045901,-0.0,2.0
55.69851108474484,50.12291828384536,-0.0,3.0
47.38221645612019,-0.0,52.581022662167356,3.0
55.27114020102148,0.15621340177519025,1.933622377893908,2.0
21.910887381949166,75.5476912719961,3.0494562435410245e-10,2.0
22.713116417179975,126.22710824522618,1.367157498415514e-10,1.0
17.33484598740772,113.70200097055867,2.9619113156683782e-08,2.0
24.184991532563366,3.137556881021391e-11,119.12053229473322,1.0
83.71389042230061,-0.0,175.3913137431431,1.0
11.13417886632991,0.008490997121104599,4.774720141315355,2.0
