Subject ID,LDA Dimension 1,LDA Dimension 2
1,0.16,-0.1
2,0.2,0.11
3,-0.13,0.08
4,-0.1,0.02
5,0.38,0.05
6,0.28,-0.23
7,0.56,0.11
8,-0.06,-0.28
9,0.48,0.06
10,-0.2,-0.33
11,0.46,0.01
12,0.05,-0.1
13,-0.06,0.13
14,0.23,0.27
15,-0.17,-0.24
16,0.34,-0.16
17,0.32,0.23
18,0.2,-0.28
19,0.45,0.24
20,0.06,-0.12
21,0.28,-0.24
22,0.38,0.11
23,-0.26,0.01
24,-0.23,0.04
25,0.35,-0.12
26,-0.25,-0.3
27,-0.4,-0.12
28,-0.11,-0.08
29,-0.39,0.18
30,-0.16,0.43
31,-0.13,0.24
32,-0.13,-0.23
33,-0.1,0.05
34,-0.17,-0.21
35,0.02,-0.04
36,-0.19,0.24
37,-0.01,0.1
38,0.31,-0.17
39,0.46,0.25
40,-0.05,0.3
41,-0.13,0.31
42,0.37,-0.12
43,-0.13,-0.08
44,-0.23,0.36
45,-0.38,-0.22
46,-0.2,0.06
47,-0.35,0.08
48,-0.39,0.08
49,-0.1,0.47
50,-0.37,0.13
51,-0.03,-0.2
52,-0.03,0.49
53,-0.13,-0.19
54,-0.3,0.28
55,0.3,-0.07
56,0.01,-0.31
57,-0.05,-0.09
58,-0.07,-0.22
59,-0.17,-0.32
60,-0.1,0.14
61,-0.08,-0.23
62,-0.1,-0.3
