Index,First Dimension,Second Dimension
1,12.92,1.52
2,15.25,0.75
3,16.72,0.76
4,14.6,-0.33
5,13.59,1.18
6,13.69,-1.55
7,14.3,0.67
8,14.18,-0.91
9,9.31,1.04
10,11.83,-0.07
11,14.11,1.73
12,11.91,0.45
13,16.02,0.51
14,13.47,2.35
15,13.97,0.72
16,12.12,0.37
17,15.59,0.95
18,15.01,-1.43
19,16.16,-0.48
20,14.68,-2.51
21,16.35,-1.2
22,14.02,-3.67
23,14.62,-4.73
24,19.19,-3.11
25,17.81,-1.93
26,16.34,-2.6
27,17.4,-1.93
28,16.55,-0.88
29,14.33,-0.32
30,15.99,-0.29
31,13.37,-3.81
32,16.85,-1.66
33,16.8,-3.71
34,15.79,-1.03
35,16.12,-2.24
36,20.42,-0.13
37,21.3,0.0
38,20.2,2.55
39,19.74,1.5
40,22.19,1.4
41,21.22,1.33
42,19.52,-0.27
43,19.79,0.39
44,21.14,-0.31
45,20.68,1.47
46,21.77,3.24
47,21.57,1.1
48,19.15,2.68
